district,neighborhood,room,living_room,area,age,floor,price
 Sarıyer , Reşitpaşa Mah.,3,1,170,20,2,50000
 Maltepe , Fındıklı Mah.,2,1,80,35,1,17000
 Kadıköy , Kozyatağı Mah.,2,1,80,39,7,32000
 Zeytinburnu , Seyitnizam Mah.,2,1,95,27,3,30000
 Fatih , Akşemsettin Mah.,2,1,100,26,4,30000
 Fatih , Silivrikapı Mah.,2,1,75,35,3,16000
 Üsküdar , Valide-i Atik Mah.,2,1,105,38,4,30000
 Kağıthane , Emniyet Evleri Mah.,2,1,90,31,2,25500
 Üsküdar , Aziz Mahmut Hüdayi Mah.,2,1,85,35,2,25000
 Kağıthane , Çeliktepe Mah.,2,1,150,35,4,30000
 Esenyurt , Güzelyurt Mah.,2,1,120,7,3,18000
 Kağıthane , Harmantepe Mah.,1,1,60,30,1,20000
 Fatih , Seyyid Ömer Mah.,2,1,75,42,0,13000
 Maltepe , Altayçeşme Mah.,3,1,125,25,6,47500
 Şişli , Teşvikiye Mah.,3,1,160,45,4,70000
 Fatih , Haseki Sultan Mah.,2,1,85,35,4,20000
 Şişli , Gülbahar Mah.,2,1,75,11,4,24000
 Maltepe , Altıntepe Mah.,2,1,90,21,3,28000
 Esenyurt , Yeşilkent Mah.,2,1,101,11,5,19000
 Beyoğlu , Müeyyetzade Mah.,1,1,110,10,2,70000
 Küçükçekmece , Cumhuriyet Mah.,3,1,145,25,2,25000
 Küçükçekmece , Atakent Mah.,2,1,84,16,3,24000
 Silivri , Yeni Mah.,2,1,100,0,5,20000
 Bahçelievler , Siyavuşpaşa Mah.,3,1,110,37,2,17500
 Beyoğlu , Ömer Avni Mah.,1,1,90,35,2,35000
 Kağıthane , Harmantepe Mah.,1,1,65,15,1,15000
 Üsküdar , Selimiye Mah.,3,1,120,31,1,33000
 Beyoğlu , Yenişehir Mah.,2,1,80,30,0,14000
 Şişli , Fulya Mah.,2,1,80,40,0,18000
 Fatih , Sümbül Efendi Mah.,3,1,120,45,5,25000
 Beylikdüzü , Gürpınar Mah.,2,1,110,5,2,23000
 Eyüpsultan , Esentepe Mah.,1,1,110,5,5,20500
 Esenler , Fevzi Çakmak Mah.,2,1,95,25,0,13000
 Bakırköy , Zuhuratbaba Mah.,3,1,110,31,4,27000
 Üsküdar , Murat Reis Mah.,2,1,115,42,1,25000
 Sarıyer , Poligon Mah.,4,1,190,20,5,65000
 Şişli , Mecidiyeköy Mah.,2,1,85,7,0,21000
 Fatih , Seyyid Ömer Mah.,2,1,75,40,3,16500
 Kağıthane , Sultan Selim Mah.,2,1,107,5,3,55000
 Güngören , Merkez Mah.,2,1,110,30,1,25000
 Üsküdar , İcadiye Mah.,3,1,130,40,3,32000
 Zeytinburnu , Nuripaşa Mah.,2,1,100,25,1,22000
 Üsküdar , Zeynep Kamil Mah.,2,1,85,33,-1,26000
 Bayrampaşa , Orta Mah.,4,1,175,6,3,30000
 Ümraniye , İstiklal Mah.,3,1,125,22,3,28500
 Bayrampaşa , Altıntepsi Mah.,3,1,120,30,3,18000
 Üsküdar , Valide-i Atik Mah.,2,1,76,35,4,21000
 Şişli , Meşrutiyet Mah.,3,1,140,35,2,45000
 Şişli , Esentepe Mah.,2,1,80,25,1,20000
 Fatih , Seyyid Ömer Mah.,2,1,75,39,3,18000
 Küçükçekmece , Gültepe Mah.,2,1,85,30,5,15500
 Beyoğlu , Gümüşsuyu Mah.,2,1,75,31,0,28000
 Bahçelievler , Fevzi Çakmak Mah.,2,1,89,32,4,17000
 Kağıthane , Sultan Selim Mah.,2,1,85,32,2,20000
 Kağıthane , Nurtepe Mah.,2,1,80,10,3,31000
 Üsküdar , Ahmediye Mah.,2,1,65,42,1,19000
 Beşiktaş , Kuruçeşme Mah.,3,1,130,35,2,40000
 Kartal , Hürriyet Mah.,2,1,100,8,3,21000
 Zeytinburnu , Kazlıçeşme Mah.,2,1,100,25,1,20000
 Şişli , Gülbahar Mah.,2,1,80,12,3,28500
 Şişli , Bozkurt Mah.,2,1,100,18,5,40000
 Küçükçekmece , Atakent Mah.,1,1,62,10,1,23000
 Esenyurt , Barbaros Hayrettin Paşa Mah.,3,1,128,11,0,45000
 Beşiktaş , Mecidiye Mah.,2,1,90,40,3,25000
 Esenyurt , Akevler Mah.,2,1,80,5,3,15000
 Şişli , Bozkurt Mah.,3,1,110,35,0,40000
 Bakırköy , Yeşilköy Mah.,3,1,125,45,3,35000
 Üsküdar , Zeynep Kamil Mah.,2,1,80,32,0,20000
 Beşiktaş , Vişnezade Mah.,3,1,85,50,1,55000
 Bakırköy , Zuhuratbaba Mah.,1,1,50,20,1,25000
 Şişli , Halaskargazi Mah.,2,1,110,40,4,34000
 Fatih , Şehremini Mah.,2,1,80,35,2,15000
 Şişli , Gülbahar Mah.,1,1,71,20,2,20000
 Sancaktepe , Meclis Mah.,3,1,105,21,1,16500
 Beylikdüzü , Adnan Kahveci Mah.,2,1,100,5,3,22000
 Sarıyer , Huzur Mah.,2,1,135,2,3,75000
 Bayrampaşa , Orta Mah.,2,1,95,28,2,20000
 Kadıköy , Eğitim Mah.,3,1,125,35,1,25000
 Şişli , Merkez Mah.,4,1,150,10,2,40000
 Zeytinburnu , Beştelsiz Mah.,2,1,100,25,1,21000
 Şişli , Merkez Mah.,2,1,100,45,2,35000
 Bakırköy , Zuhuratbaba Mah.,2,1,80,31,2,18000
 Kağıthane , Gültepe Mah.,2,1,80,21,1,20000
 Şişli , Fulya Mah.,1,1,68,24,-1,19000
 Bakırköy , Şenlikköy Mah.,3,1,160,25,3,55000
 Üsküdar , Zeynep Kamil Mah.,2,1,105,30,5,23000
 Kadıköy , Merdivenköy Mah.,3,1,145,35,6,36000
 Beşiktaş , Arnavutköy Mah.,2,1,73,35,0,32500
 Bahçelievler , Bahçelievler Mah.,2,1,85,20,0,26000
 Beyoğlu , Şehit Muhtar Mah.,2,1,85,50,2,25000
 Kartal , Hürriyet Mah.,2,1,95,26,3,17000
 Bahçelievler , Cumhuriyet Mah.,2,1,80,17,1,16000
 Başakşehir , Başakşehir Mah.,1,1,58,0,6,23000
 Esenyurt , Güzelyurt Mah.,2,1,110,10,4,18000
 Kağıthane , Çeliktepe Mah.,2,1,85,6,1,20500
 Silivri , Yeni Mah.,2,1,110,0,2,20000
 Bakırköy , Şenlikköy Mah.,2,1,110,14,0,52000
 Şişli , Meşrutiyet Mah.,2,1,120,10,0,35000
 Eyüpsultan , Akşemsettin Mah.,2,1,110,40,1,21500
 Kağıthane , Telsizler Mah.,1,1,75,25,4,21000
 Fatih , Mevlanakapı Mah.,1,1,65,42,1,15000
 Kağıthane , Gürsel Mah.,2,1,100,20,1,19000
 Şişli , Bozkurt Mah.,2,1,100,19,4,50000
 Üsküdar , Bulgurlu Mah.,3,1,125,18,1,26500
 Bahçelievler , Bahçelievler Mah.,2,1,95,33,2,17000
 Kağıthane , Hamidiye Mah.,3,1,130,28,3,21000
 Kağıthane , Sultan Selim Mah.,3,1,130,29,2,24000
 Silivri , Selimpaşa Mah.,2,1,100,29,-3,15000
 Bahçelievler , Siyavuşpaşa Mah.,2,1,115,35,5,17000
 Küçükçekmece , Gültepe Mah.,2,1,85,7,2,26000
 Kağıthane , Talatpaşa Mah.,2,1,119,4,5,42000
 Kağıthane , Merkez Mah.,1,1,65,12,0,16500
 Avcılar , Denizköşkler Mah.,3,1,130,25,6,21000
 Maltepe , Cevizli Mah.,3,1,107,4,4,35000
 Küçükçekmece , Kanarya Mah.,2,1,140,30,6,13500
 Kadıköy , Erenköy Mah.,3,1,120,5,3,70000
 Esenler , Kemer Mah.,2,1,120,25,1,18000
 Zeytinburnu , Gökalp Mah.,3,1,125,0,3,40000
 Kadıköy , Acıbadem Mah.,3,1,140,31,4,34000
 Zeytinburnu , Çırpıcı Mah.,2,1,80,35,3,13500
 Fatih , Balat Mah.,2,1,90,30,1,20000
 Beşiktaş , Muradiye Mah.,1,1,70,38,4,31000
 Bağcılar , Yavuz Selim Mah.,3,1,135,35,4,21000
 Pendik , Kavakpınar Mah.,3,1,115,4,1,21000
 Beykoz , İncirköy Mah.,2,1,70,15,3,20000
 Fatih , Koca Mustafapaşa Mah.,2,1,90,40,3,19000
 Sarıyer , Bahçeköy Merkez Mah.,2,1,135,26,5,35000
 Zeytinburnu , Merkezefendi Mah.,3,1,110,31,0,40000
 Kartal , Hürriyet Mah.,3,1,155,30,3,26000
 Fatih , Akşemsettin Mah.,3,1,130,40,3,26000
 Şişli , Paşa Mah.,2,1,60,31,4,20000
 Maltepe , Fındıklı Mah.,1,1,65,6,0,15750
 Kağıthane , Sultan Selim Mah.,2,1,120,29,3,19999
 Bakırköy , Şenlikköy Mah.,4,1,220,20,3,77000
 Bağcılar , Yavuz Selim Mah.,3,1,110,35,4,17000
 Kağıthane , Yahya Kemal Mah.,2,1,90,0,6,25000
 Üsküdar , Zeynep Kamil Mah.,1,1,75,33,1,18500
 Bahçelievler , Bahçelievler Mah.,2,1,95,1,0,35000
 Silivri , Yeni Mah.,2,1,110,0,3,20000
 Avcılar , Denizköşkler Mah.,3,1,150,25,3,23000
 Fatih , Şehremini Mah.,2,1,85,35,2,15500
 Büyükçekmece , 19 Mayıs Mah.,3,1,90,30,3,16000
 Şişli , Halaskargazi Mah.,2,1,110,45,4,28000
 Kağıthane , Ortabayır Mah.,2,1,85,25,1,19500
 Avcılar , Gümüşpala Mah.,3,1,130,1,3,30000
 Ümraniye , Atatürk Mah.,2,1,85,23,1,25000
 Şişli , Bozkurt Mah.,3,1,180,31,5,40000
 Üsküdar , Valide-i Atik Mah.,4,1,180,10,5,45000
 Güngören , Abdurrahman Nafiz Gürman Mah.,2,1,90,40,0,15500
 Beyoğlu , Keçeci Piri Mah.,2,1,90,30,2,21000
 Fatih , Haseki Sultan Mah.,3,1,165,35,4,32000
 Bahçelievler , Bahçelievler Mah.,2,1,90,40,0,25000
 Başakşehir , Kayabaşı Mah.,2,1,105,7,7,34000
 Beykoz , Çamlıbahçe Mah.,2,1,130,25,1,25000
 Esenler , Tuna Mah.,2,1,100,8,2,18000
 Esenyurt , Piri Reis Mah.,2,1,100,0,3,30000
 Fatih , Haseki Sultan Mah.,2,1,95,30,2,25000
 Silivri , Yeni Mah.,2,1,100,0,5,20500
 Kağıthane , Sultan Selim Mah.,3,1,100,15,-1,18999
 Kağıthane , Yahya Kemal Mah.,1,1,70,0,0,21500
 Beykoz , Gümüşsuyu Mah.,3,1,160,15,2,75000
 Kadıköy , Kozyatağı Mah.,3,1,150,30,4,35000
 Avcılar , Üniversite Mah.,1,1,70,8,4,25000
 Silivri , Yeni Mah.,3,1,130,1,3,30000
 Şişli , 19 Mayıs Mah.,2,1,85,35,4,32000
 Kağıthane , Yeşilce Mah.,2,1,110,35,4,15500
 Fatih , Seyyid Ömer Mah.,1,1,65,38,1,17000
 Küçükçekmece , Cumhuriyet Mah.,4,1,180,25,4,17000
 Bahçelievler , Yenibosna Merkez Mah.,3,1,156,11,0,65000
 Zeytinburnu , Seyitnizam Mah.,2,1,115,20,1,17000
 Çekmeköy , Alemdağ Mah.,1,1,67,5,4,20000
 Beyoğlu , Cihangir Mah.,1,1,70,20,3,30000
 Kağıthane , Gürsel Mah.,2,1,90,20,2,19000
 Kadıköy , Caferağa Mah.,2,1,95,30,5,35000
 Sarıyer , Yeniköy Mah.,2,1,95,30,2,25000
 Şişli , Mecidiyeköy Mah.,2,1,90,14,1,21000
 Fatih , Şehremini Mah.,1,1,65,40,0,9000
 Şişli , Bozkurt Mah.,2,1,80,40,0,30000
 Zeytinburnu , Telsiz Mah.,2,1,75,26,1,20500
 Fatih , Mevlanakapı Mah.,2,1,95,35,3,20000
 Kağıthane , Gürsel Mah.,1,1,75,25,2,17500
 Kağıthane , Yeşilce Mah.,3,1,100,29,1,18000
 Kağıthane , Şirintepe Mah.,2,1,74,12,0,14750
 Beyoğlu , Şahkulu Mah.,1,1,58,50,1,36000
 Üsküdar , Zeynep Kamil Mah.,2,1,80,47,3,25000
 Esenyurt , Barbaros Hayrettin Paşa Mah.,1,1,85,15,5,18000
 Fatih , Sümbül Efendi Mah.,2,1,90,35,1,16000
 Zeytinburnu , Seyitnizam Mah.,2,1,110,23,3,14000
 Şişli , 19 Mayıs Mah.,2,1,171,21,4,75000
 Ataşehir , Esatpaşa Mah.,2,1,85,13,2,23500
 Sarıyer , Bahçeköy Yeni Mah.,2,1,105,2,0,50000
 Şişli , Mecidiyeköy Mah.,2,1,90,20,1,20500
 Avcılar , Üniversite Mah.,2,1,110,25,3,14000
 Şişli , Yayla Mah.,3,1,170,10,3,40000
 Beyoğlu , Kalyoncu Kulluğu Mah.,1,1,50,50,3,27500
 Şişli , Ergenekon Mah.,4,1,150,0,5,59000
 Üsküdar , Valide-i Atik Mah.,2,1,80,40,0,17000
 Üsküdar , Cumhuriyet Mah.,3,1,140,23,2,28000
